Исходные данные,Референс,Результат работы классификатора 
гидростатика DX-08-XO04-9607 ,гидростатика L8-62-4TW3-8747 ,0
анализатор 8X-38-GEU6-2612 ,компрессор 8X-38-GEU6-2612 ,1
крюки 1F-66-05EJ-9956 Радиочастотный,крюки ES-17-YU68-0840 Радиочастотный,0
опробование X9-33-E5A9-6270 ,опробование U8-34-HGJL-1257 ,0
врезка TU-56-NKVV-1718 Тепловой,моделирование TU-56-NKVV-1718 Тепловой,1
симуляция NL-85-2YY4-8469 Акустический,рельс NL-85-2YY4-8469 Гальванический,1
клепка L4-67-56B1-4961 Тепловой,термометр L4-67-56B1-4961 ,1
двутавр BX-24-WCC7-4291 Полупроводниковый,двутавр MD-74-Y7TC-9330 Полупроводниковый,0
молоток 0Y-37-68LO-7478 Радиотехнический,рулетка 0Y-37-68LO-7478 ,1
холодильник U8-41-28ME-4406 Лазерный,амортизация U8-41-28ME-4406 Технический,1
вал JA-04-EON0-4457 Вибрационный,аттестация JA-04-EON0-4457 ,1
кисточка FK-38-UGBW-3597 ,кисточка 3H-35-14DS-9300 ,0
проточка UZ-32-E2OD-2369 ,проточка UZ-32-E2OD-2349 ,0
отвертка F5-69-7K4X-8100 Энергетический,структурирование F5-69-7K4X-8100 ,1
клепка JX-51-JUFV-6797 Геотехнический,клепка JX-51-JUFV-6797 Компьютерный,1
врезка TB-80-FKAE-2769 ,врезка JB-24-MK4O-4604 ,0
эксперимент 6P-34-F1HQ-5339 ,эксперимент UZ-53-HBY4-8632 ,0
каталогизация O2-29-GSQR-6774 ,каталогизация EG-68-1EPA-4208 ,0
нож E9-52-OZLV-7040 Нанотехнологический,паяльник E9-52-OZLV-7040 ,1
антенна UM-28-GJJE-8591 Конструктивный,антенна UM-28-GJJE-8591 ,1
станция ET-58-2BSK-2299 Телекоммуникационный,вихрь ET-58-2BSK-2299 ,1
цанга PM-65-UJ9G-8056 Энергетический,цанга PM-65-UJ9G-8056 Биомедицинский,1
проточка 1I-22-G8ML-4164 ,проточка VJ-82-I5UL-7632 ,0
вихрь 2K-33-MFWA-9580 Компьютерный,вихрь 2K-33-MFWA-9580 ,1
рычаг OD-51-7S54-2676 ,рычаг O3-51-7S54-2676 ,0
клепка DV-23-01WD-8205 Кибернетический,тиски DV-23-01WD-8205 ,1
шуруповерт CI-25-OG65-7479 Металлургический,рулетка CI-25-OG65-7479 ,1
аппаратура T6-37-KK0Y-1572 ,аппаратура MJ-72-JMJA-1438 ,0
субкультура 2J-81-FGCW-4285 ,субкультура GK-50-S3RK-9973 ,0
трапеция M5-06-OO67-9692 Компьютерный,ассоциация M5-06-OO67-9692 Гравитационный,1
переименование UN-47-5O1F-8726 ,переименование I8-37-VAXC-3718 ,0
клепка 3L-51-3ZPE-1942 ,клепка 31-51-3ZPE-1942 ,0
гвоздодер 2F-86-WIZM-0695 Кинематический,щетка 2F-86-WIZM-0695 Регулирующий,1
детектор UM-18-CBQN-8524 Акустический,тисочки UM-18-CBQN-8524 Генетический,1
клещи YA-77-5U30-3093 ,клещи YA-7745U30-3093 ,0
шкала XM-04-036S-4718 Исследовательский,диспергирование XM-04-036S-4718 ,1
фильтр KL-31-4YG9-8670 ,клещ KL-31-4YG9-8670 ,1
гирокомпас 48-19-2U75-2109 ,гирокомпас 48-19-8U75-2109 ,0
каталогизация 50-03-09AM-3060 Акустический,каталогизация 50-03-09AM-3060 ,1
струновка N3-72-GICS-9127 ,субкультура N3-72-GICS-9127 ,1
пассатижи I1-52-E507-1047 Радиочастотный,пассатижи I1-52-E507-1047 ,1
циркуль L5-76-6O85-4511 Технический,тренога L5-76-6O85-4511 Пневматический,1
электродвигатель UM-03-E3MY-5567 Управляющий,пульсометр UM-03-E3MY-5567 ,1
клещи 9K-39-9RPE-8289 Кибернетический,холодильник 9K-39-9RPE-8289 ,1
фильтр 7B-61-AJGZ-3938 Исследовательский,детектор 7B-61-AJGZ-3938 ,1
цанга 2A-92-JVQF-5824 ,цанга 2A-92-JVQF-5824 ,1
оврископ FP-84-OVUJ-5775 Металлургический,оврископ FP484-OVUJ-5775 Металлургический,0
гвоздодер GY-24-RKT9-2687 Металлургический,двигатель GY-24-RKT9-2687 Сверхпроводящий,1
паста EC-81-BK9N-7981 Управляющий,паста EC-81-BK9N-7981 Нанотехнологический,1
градусник HG-08-CKMP-5820 ,градусник HG708-CKMP-5820 ,0
лента OE-20-DKW7-7620 Технический,лента JE-91-JR09-1144 Технический,0
станция PS-59-11XC-3549 ,станция PS-59-11XC-3549 ,1
аппаратура KB-45-QXBF-2592 ,аппаратура K7-45-QXBF-2592 ,0
такометр FO-09-RVRD-4102 Гальванический,датчик FO-09-RVRD-4102 ,1
паяльник KL-97-FK8P-5857 Радиолокационный,полумесяц KL-97-FK8P-5857 Полупроводниковый,1
клещи NR-13-8KEJ-2557 Радиочастотный,клещи NR-13-8KEJ-2557 ,1
моделирование HP-32-41NP-5109 Эргономический,моделирование 8I-94-Z4OY-1886 Эргономический,0
пилка 9W-84-V906-6048 ,пилка X6-15-MX4B-5148 ,0
анализатор NL-22-5BD2-2499 ,анализатор NL-22-3BD2-2499 ,0
амортизация GX-48-BYIE-1877 Оптический,вихрь GX-48-BYIE-1877 ,1
пила IR-32-PPZ5-7228 Аэродинамический,пила IR-32-PPZ5-7228 ,1
настой HB-42-QUH4-7681 Аэродинамический,настой OU-00-EWLE-1086 Аэродинамический,0
водоснабжение YJ-92-1SQU-8732 Тепловой,трапеция YJ-92-1SQU-8732 Оптический,1
ключ AG-24-PXP9-7182 Химический,ключ O0-41-EZ6S-5340 Химический,1
клещи XX-84-U0OE-9620 Металлургический,клещи XX-84-U0OE-9620 ,1
пилка 3L-67-O6QH-2377 ,пилка FJ-88-827L-4187 ,0
уровень RR-37-96ZV-7756 ,аппаратура RR-37-96ZV-7756 ,1
клещи 1Q-62-LB1C-2602 Телекоммуникационный,клещи 1Q662-LB1C-2602 Телекоммуникационный,1
пилка AK-91-W4ZB-7174 ,пилка 7O-82-2YFC-9945 ,0
нож BS-27-V2DZ-7915 Оптический,нож 8R-18-DIXZ-7925 Оптический,0
гидрамеханика MO-57-C7UM-0963 Радиолокационный,ключ MO-57-C7UM-0963 ,1
сварка IO-13-GZ7L-8415 ,тренога IO-13-GZ7L-8415 ,1
врезка 6S-86-08GJ-8655 Геотехнический,аргон 6S-86-08GJ-8655 ,1
клещи NX-56-W0RA-3250 Автоматический,клещи NX-56-W0RA-3250 ,1
холодильник Q5-02-07MX-3403 Фотографический,тент Q5-02-07MX-3403 Гальванический,1
катушка TI-16-DJTW-0852 Химический,термометр TI-16-DJTW-0852 ,1
каталогизация JD-41-HO2S-4420 ,каталогизация LP-18-9AE0-2238 ,0
нож AO-12-46M9-1330 Робототехнический,якорь AO-12-46M9-1330 ,1
олово V9-60-WO3F-3120 ,олово 66-25-PC2W-1240 ,0
градусник MO-42-D8L6-0862 ,градусник MO-42-D8L6-0462 ,1
якорь DO-27-BPQF-5248 Биотехнологический,якорь EZ-96-ZEJ7-4733 Биотехнологический,0
шуруповерт EH-95-QPIU-7863 ,шуруповерт JO-51-QLL8-6927 ,0
энтузиазм RM-29-3IZJ-2661 Управляющий,энтузиазм RM-29-3IZJ-2661 Электрический,1
пилка QW-32-5CFW-7732 Акустический,катушка QW-32-5CFW-7732 ,1
шпатель 6M-15-A5Z1-7601 Вибрационный,переименование 6M-15-A5Z1-7601 ,1
тиски A7-02-0YIL-1787 ,тиски A7202-0YIL-1787 ,0
пилка YW-68-00DJ-0158 Генетический,датчик YW-68-00DJ-0158 ,1
диспергирование 4P-82-CXPG-6474 ,диспергирование 4P-826CXPG-6474 ,0
переименование 4W-32-D3NF-1990 ,переименование 8R-25-9ONH-5251 ,0
эксперимент A6-37-RK38-2284 Ядерный,эксперимент A6-37-RK38-2284 ,1
последовательность VU-84-4U3D-7123 Радиотехнический,уровень VU-84-4U3D-7123 ,1
клещи EE-72-Q865-4830 Термический,эксперимент EE-72-Q865-4830 Термический,1
ассоциация NF-38-JXT8-4798 Оптический,расчет NF-38-JXT8-4798 ,1
тисочки LU-45-3FC0-2201 ,тисочки LU-43-3FC0-2201 ,0
последовательность AX-86-HT4I-9822 ,последовательность N2-55-VNXP-6777 ,0
эксперимент 5S-51-H7AS-9274 Металлургический,сварка 5S-51-H7AS-9274 Гальванический,1
диспергирование WC-49-KBUP-2304 Архитектурный,диспергирование WC-49-KBUP-4304 Архитектурный,0
клещи Z0-68-TTAY-3040 Технический,оружие Z0-68-TTAY-3040 ,1
циркуль 0W-65-TYO0-9340 Микробиологический,идеализация 0W-65-TYO0-9340 ,1
тент 89-92-S0EM-7864 Робототехнический,оврископ 89-92-S0EM-7864 Гальванический,1
пульсометр DI-91-8MHI-1266 Компьютерный,градусник DI-91-8MHI-1266 Компьютерный,1
холодильник QU-90-72P9-4268 Газодинамический,детектор QU-90-72P9-4268 Газодинамический,1
гвоздодер 7I-07-037F-0458 ,гвоздодер Z9-22-7H75-1219 ,0
проточка UQ-81-UFE1-5568 Биотехнологический,молоток UQ-81-UFE1-5568 ,1
клещи FF-82-UVK6-8601 Гальванический,клещи 0J-13-F53Q-1136 Гальванический,0
имитация GQ-44-KM31-8871 ,имитация A9-68-KVKC-7087 ,0
ключ BR-45-D3E1-9127 Лазерный,проточка BR-45-D3E1-9127 ,1
субкультура CK-93-Z74F-9138 Биомедицинский,рычаг CK-93-Z74F-9138 ,1
крестовина 67-05-1W2Y-8118 ,крестовина R3-75-PKTA-0646 ,0
фонарь IA-59-7LLY-6274 Эргономический,якорь IA-59-7LLY-6274 ,1
двутавр IE-33-YIMP-2859 Робототехнический,тисочки IE-33-YIMP-2859 ,1
гидрамеханика Z7-04-FCM5-6408 Микробиологический,гидрамеханика Z7804-FCM5-6408 Микробиологический,0
клепка I9-89-860D-2968 ,клепка TD-21-S11R-8447 ,0
кисточка 8U-66-R474-0129 Микробиологический,паста 8U-66-R474-0129 ,1
амортизация 8B-87-F86X-0397 ,амортизация 8B-872F86X-0397 ,0
проточка JI-79-UTZU-7790 Гальванический,катушка JI-79-UTZU-7790 Силовой,1
струновка BB-09-GFL5-2696 Гидравлический,структурирование BB-09-GFL5-2696 Гидравлический,1
игла L0-07-GJEE-4228 ,игла 9F-04-8Q9M-3635 ,0
двигатель 05-12-T2AR-5775 Механический,двигатель 05-12-T2AR-5775 ,1
переименование CR-03-UVIC-8606 ,переименование 9R-03-UVIC-8606 ,0
аппаратура 0Z-23-IDGY-0965 ,аппаратура G5-65-P65Q-0272 ,0
анализатор 21-41-R113-2799 Радиолокационный,субкультура 21-41-R113-2799 ,1
лагерь IJ-03-M9IM-5530 ,лагерь 5Z-00-1110-6025 ,0
катушка Z9-14-VQ8C-7965 ,катушка UX-58-LU9U-8620 ,0
паяльник UJ-71-3G4R-2216 Кинематический,паяльник UJ271-3G4R-2216 Кинематический,0
молоток NJ-27-AVJE-3821 Проектировочный,молоток U0-02-YSA3-1681 ,0
энтузиазм PD-48-HF56-2786 Кибернетический,цилиндр PD-48-HF56-2786 Оптический,1
оружие XN-91-K5RH-3956 ,оружие XN-91-K5RH-3956 ,1
компрессор 6V-30-M431-4118 ,компрессор W0-98-U5CS-9762 ,0
ключ CU-22-0PO1-9404 Криогенный,лента CU-22-0PO1-9404 ,1
пассатижи ZS-50-G0Y8-4655 ,гидрамеханика ZS-50-G0Y8-4655 ,1
двигатель YO-68-R563-5270 Фотографический,реостат YO-68-R563-5270 ,1
вихрь SC-19-48V3-1730 ,вихрь 7A-42-KY32-6373 ,0
опробование H1-94-DMAL-6156 ,опробование 1L-21-BRQG-4297 ,0
цанга FW-58-U7VY-4416 ,градусник FW-58-U7VY-4416 ,1
холодильник 01-90-4LOQ-8640 Архитектурный,холодильник 01-60-4LOQ-8640 Архитектурный,0
тисочки VS-00-SIJA-8250 Телекоммуникационный,тисочки 3F-99-BTZ1-2987 Генетический,0
детектор 7Z-46-R6IL-7438 Силовой,энтузиазм 7Z-46-R6IL-7438 Оптический,1
пассатижи 0C-63-HM6S-3890 ,пассатижи 8C-63-HM6S-3890 ,0
гидрамеханика 1P-44-LJ8J-7565 Робототехнический,градусник 1P-44-LJ8J-7565 ,1
переименование DG-04-VM12-2203 ,паяльник DG-04-VM12-2203 ,1
гирокомпас 6K-83-JHIF-1300 Химический,лента 6K-83-JHIF-1300 ,1
фонарь WX-75-U628-3013 Механический,олово WX-75-U628-3013 ,1
градусник KD-46-6P4A-4614 ,градусник D1-65-YIH1-5145 ,0
бита WL-10-A0C4-7695 Робототехнический,бита WL-10-40C4-7695 ,0
гидрамеханика TC-71-MROL-6497 ,сварка TC-71-MROL-6497 ,1
сварка LN-17-DERT-5441 ,термометр LN-17-DERT-5441 ,1
идеализация J0-68-7ITJ-1215 ,идеализация E6-70-QDWJ-0356 ,0
пила UV-61-LU0A-8304 ,эксперимент UV-61-LU0A-8304 ,1
холодильник 5U-13-RNE0-5302 Гравитационный,холодильник 2L-56-HQ3D-8243 Гравитационный,0
крюки 0L-99-UUZM-9589 Архитектурный,крюки 4N-33-SZ7N-4862 Архитектурный,0
паяльник 27-51-QTX6-6614 ,паяльник 8V-18-USTK-5686 ,0
расчет 7A-18-0WF9-4371 Метрологический,расчет 7A-18-0WF9-4371 ,1
опробование SG-39-UMNB-6316 Регулирующий,опробование G5-59-RR3X-9028 ,0
программатор 40-67-7B1I-3791 Биотехнологический,трапеция 40-67-7B1I-3791 Кибернетический,1
циркуль U6-45-OMLO-2455 Электрический,циркуль U6-45-OMLO-2455 ,1
цанга KL-08-RL7V-6861 Гравитационный,опробование KL-08-RL7V-6861 Тепловой,1
якорь MB-59-PVNB-2611 ,якорь MB-59-PVN7-2611 ,0
пила 9E-86-ODG2-9960 ,пила K3-91-XSQH-3065 ,0
рычаг TY-78-TFDB-1638 ,рычаг TY-78-TFDB-1638 ,0
проточка 18-28-FJF9-2667 ,проточка 6J-13-1P65-1247 ,0
жесткость U0-92-LZAR-2708 Ядерный,переименование U0-92-LZAR-2708 Тепловой,1
крюки E1-56-B8DR-2333 Радиочастотный,крюки E1-56-B8DR-2333 ,1
сварка 17-38-P55F-9657 Компьютерный,электродвигатель 17-38-P55F-9657 ,1
рельс G8-94-INSD-7546 Аэродинамический,бита G8-94-INSD-7546 ,1
уровень NP-71-7N0R-3840 ,реостат NP-71-7N0R-3840 ,1
цилиндр 6V-77-61JG-3510 ,цилиндр 6V-77-61JG-3550 ,0
лагерь 0S-47-J1L4-9390 Управляющий,лагерь 0S-47-J1L4-9390 Метрологический,1
врезка TY-60-X6Z1-5523 Компьютерный,врезка 3F-37-HUFS-6193 Компьютерный,0
амортизация XC-05-F5EX-8370 Гидравлический,двутавр XC-05-F5EX-8370 ,1
гидрамеханика 9S-70-G7ZS-3056 ,гидрамеханика 42-11-CJJ4-5790 ,0
уровень 32-64-27OZ-7865 ,уровень 32-64027OZ-7865 ,0
шкала HS-54-HSPW-0540 ,шкала 9W-11-9VW2-2226 ,0
водоснабжение ZL-28-Y762-7161 Биомедицинский,двигатель ZL-28-Y762-7161 Проектировочный,1
пассатижи LR-19-O52E-6572 Фотографический,пассатижи L8-19-O52E-6572 Фотографический,0
краскопульт IY-98-8XCU-9591 Управляющий,клещ IY-98-8XCU-9591 ,1
структурирование FX-82-S5DO-8403 ,структурирование FX-84-S5DO-8403 ,0
темномер 74-23-0LIE-2377 Радиолокационный,электродвигатель 74-23-0LIE-2377 ,1
ключ RS-03-FML7-3361 ,ключ 1L-85-BTLS-5669 ,0
пилка ZB-34-0YSN-0466 ,пилка 4E-10-FG75-8468 ,0
оружие NX-90-F153-4045 Эргономический,оружие NX-90-F153-4145 Эргономический,0
лента 0C-41-9GTZ-4356 ,лента ZP-83-9AOY-0658 ,0
крюки US-38-GQ0Q-1495 ,крюки US-38-GQ0Q-1795 ,0
двигатель G6-96-HOC2-1881 Гальванический,аттестация G6-96-HOC2-1881 ,1
краскопульт TA-13-Q6PY-8977 Фотографический,тренога TA-13-Q6PY-8977 Гидравлический,1
якорь KL-69-IU5W-8315 Проектировочный,тисочки KL-69-IU5W-8315 ,1
водоснабжение TS-21-3LWA-1637 ,водоснабжение TS-21-3LWA-1037 ,0
термометр N7-07-UZC8-8088 Биотехнологический,сварка N7-07-UZC8-8088 ,1
компрессор KH-46-3C19-6695 ,компрессор KH-46-3C19-6295 ,1
спарка S8-33-N9I7-7964 ,спарка RZ-31-TXYK-1632 ,0
тренога C2-52-FK6P-0115 Метрологический,тренога 1T-60-DG3Z-1287 Проектировочный,0
проточка 0U-43-TLVT-7172 ,проточка ID-54-11O2-3887 ,0
водоснабжение RO-79-SMGU-0350 ,водоснабжение A6-70-02B2-7305 ,0
тара MD-12-MKCB-7291 Робототехнический,тара MD-12-MKCB-7291 ,1
фонарь E5-13-G20J-9881 Вибрационный,фонарь E5-13-G20J-9881 Фотографический,1
клепка YL-12-89SN-1569 Гидравлический,аргон YL-12-89SN-1569 Метрологический,1
фонарь HO-18-DN7Z-5650 ,фонарь J2-48-J958-1015 ,0
клещи L9-56-THXX-2158 Радиолокационный,клещи L9-56-THXX-4158 Радиолокационный,0
энтузиазм 5P-69-Y085-4518 Силовой,энтузиазм 5P-69-Y085-4518 ,1
имитация 7Y-58-HLKD-6299 Расчетный,имитация AD-48-OK7X-5736 Расчетный,0
каталогизация 1B-75-MXW8-1325 Архитектурный,каталогизация 95-41-U6KZ-5885 Эргономический,0
уровень 5A-37-WF4O-8842 Сверхпроводящий,уровень 5Q-53-ZHK6-6688 Сверхпроводящий,0
лента EG-15-QNPI-1736 Тепловой,уровень EG-15-QNPI-1736 Оптический,1
последовательность HV-38-FYXS-3835 Оптический,жесткость HV-38-FYXS-3835 ,1
цилиндр 0A-39-JW75-3705 ,идеализация 0A-39-JW75-3755 ,0
щетка B4-00-3I2T-6913 Термический,щетка T7-46-9MLF-3859 Термический,0
спарка V7-99-K4ZI-3548 Акустический,спарка V7-94-K4ZI-3548 Акустический,0
тиски I4-98-RU1N-2331 ,тиски KV-35-H618-1347 ,0
лагерь O0-35-80U4-5396 ,лагерь NM-68-R7M4-7947 ,0
оружие Y1-80-KWLD-6706 Тепловой,оружие PH-07-VXPE-8159 Тепловой,0
субкультура 18-42-HLAZ-7425 Полупроводниковый,субкультура 84-13-12RJ-9752 Полупроводниковый,0
компрессор AM-47-327W-6238 Фотографический,моделирование AM-47-327W-6238 ,1
струновка LL-90-FIJX-3847 Экологический,струновка LL-90-FIJX-3847 Экологический,1
олово LB-92-VV9K-4666 Робототехнический,темномер LB-92-VV9K-4666 ,1
якорь FR-69-UMCL-8910 Радиочастотный,якорь 7I-14-QNE8-7541 Радиочастотный,0
паяльник K7-41-ONP3-2357 Компьютерный,крестовина K7-41-ONP3-2357 Газодинамический,1
молоток IZ-05-ZDQR-5583 Газодинамический,молоток I3-05-ZDQR-5583 Газодинамический,0
энтузиазм OF-54-PX0M-7536 ,циркуль OF-54-PX0M-7536 ,1
турбулентность EK-18-SYOK-9038 ,турбулентность QJ-66-4CDC-2009 ,0
анализатор 4J-31-K9B2-9382 Энергетический,анализатор AR-07-Q0GZ-9268 Энергетический,0
аналитика 0N-54-DEI2-3454 Расчетный,оврископ 0N-54-DEI2-3454 ,1
краскопульт PM-37-4ID1-5025 Нанотехнологический,фильтр PM-37-4ID1-5025 ,1
краскопульт YC-77-BYWF-2738 Оптический,краскопульт YC-77-BYWF-2138 Оптический,1
фонарь N4-45-M18J-3657 Полупроводниковый,фонарь 6R-84-C333-4311 Полупроводниковый,0
врезка SO-06-MBT1-8513 ,оружие SO-06-MBT1-8513 ,1
эксперимент 7J-05-ZV4H-6861 Силовой,эксперимент 7J-05-ZV4H-6861 ,1
сварка DJ-74-MRYS-0298 ,сварка JK-35-F5QM-5846 ,0
кисточка PU-58-6AA3-4779 ,клепка PU-58-6AA3-4779 ,1
термометр RJ-72-KD48-8237 Лазерный,цанга RJ-72-KD48-8237 ,1
доска VE-05-GFAT-5199 Исследовательский,реостат VE-05-GFAT-5199 ,1
диспергирование 43-38-TLGX-8741 Исследовательский,струновка 43-38-TLGX-8741 ,1
клещ EQ-02-KEFT-2283 Силовой,электродвигатель EQ-02-KEFT-2283 ,1
катушка TY-78-RRKU-2599 Метрологический,рычаг TY-78-RRKU-2599 Акустический,0
вал 9U-41-WQFW-8446 Экологический,аппаратура 9U-41-WQFW-8446 Криогенный,1
двигатель 12-16-8X74-4755 ,двигатель 09-60-IRFW-7339 ,0
доска VQ-67-EHLY-2946 ,рычаг VQ-67-EHLY-2946 ,1
лента 9H-80-CJYW-6871 Автоматический,лента RD-55-VWVQ-4807 Автоматический,0
паста C6-79-0FAD-1521 Метрологический,паста KP-04-GCMD-7488 Метрологический,0
датчик 9O-79-ARC2-1603 Микробиологический,датчик 9O-29-ARC2-1603 ,0
врезка E1-79-AAK2-0795 Экологический,врезка E1-79-AAK2-0795 ,1
оружие I0-31-UQ60-3838 Гидравлический,оружие 90-31-UQ60-3838 Гидравлический,1
имитация DR-98-COVE-4385 Сверхпроводящий,структурирование DR-98-COVE-4385 ,1
последовательность 39-59-JEVI-9641 Электрический,последовательность 39-59-JEVI-9641 ,1
гвоздодер LW-09-1NDV-0099 Оптический,темномер LW-09-1NDV-0099 Нанотехнологический,1
трапеция CX-12-XC7C-2706 Регулирующий,такометр CX-12-XC7C-2706 ,1
лента WU-08-QDFF-2390 Химический,лента 7B-63-37GI-5861 Химический,0
фильтр 0J-93-8F9R-4549 ,фильтр 0J-93-8F9R-4559 ,0
клещ HG-04-4SDH-1188 Телекоммуникационный,структурирование HG-04-4SDH-1188 ,1
темномер WC-77-5G7G-8388 ,двутавр WC-77-5G7G-8358 ,0
компрессор EP-93-RWIB-2466 Биотехнологический,компрессор EP-93-RWI2-2466 Компьютерный,1
лагерь KL-45-SW0D-3803 ,лагерь FU-18-C5YY-8950 ,0
сварка BT-17-LQ1I-1058 Гравитационный,настой BT-17-LQ1I-1058 ,1
датчик NU-23-XVZN-1633 Биотехнологический,датчик NU-23-XVZN-1133 Биотехнологический,0
вал T4-80-EUFJ-6257 Энергетический,вал T4-80-EUFJ-6257 ,1
каталогизация 5C-16-MVLP-9399 ,каталогизация 5C-162MVLP-9399 ,0
компрессор GO-50-5CI6-4957 Конструктивный,шпатель GO-50-5CI6-4957 ,1
катушка KX-35-GSAQ-2704 ,катушка OZ-28-GW6R-5105 ,0
трапеция AR-30-29FE-5512 Регулирующий,шкала AR-30-29FE-5512 Ядерный,1
лента JE-99-54WB-9822 Биотехнологический,цанга JE-99-54WB-9822 ,1
электросверло SS-28-0I6X-2490 ,электросверло SS-28-0I6X-3490 ,0
имитация VJ-56-N9TW-9254 ,имитация LU-08-JSMT-5350 ,0
аргон 0W-56-D3QV-8172 Телекоммуникационный,аргон 0W-56-D3QV78172 Телекоммуникационный,0
клапан BJ-56-Q1IX-0072 Пневматический,клапан DY-97-EWVD-2830 Пневматический,0
моделирование 9Y-65-BUG4-3486 Сверхпроводящий,жесткость 9Y-65-BUG4-3486 ,1
двигатель HW-14-CB5S-7572 Робототехнический,двигатель HW-14-CB5S-7572 ,1
уровень 12-21-ZYA5-3003 Электрический,оврископ 12-21-ZYA5-3003 ,1
аналитика EN-44-C9TF-0440 Силовой,аттестация VH-12-PK92-9307 Силовой,0
жесткость AQ-54-BQW3-5458 Нанотехнологический,жесткость AQ-54-BQW3-5458 ,1
настой W2-98-C2B2-5668 ,настой 92-98-C2B2-5668 ,1
программатор RQ-01-YZAZ-8431 ,программатор 24-34-ZW8G-3502 ,0
турбулентность NX-01-7CJM-2964 ,каталогизация NX-01-7CJM-2964 ,1
водоснабжение E3-74-5NY9-4549 Вибрационный,клещи E3-74-5NY9-4549 ,1
полумесяц LG-02-I1BE-6091 ,полумесяц ZT-37-60BJ-5924 ,0
электродвигатель AX-77-PAKL-0525 Силовой,бита AX-77-PAKL-0525 Силовой,1
программатор ZJ-19-CLDN-0205 Робототехнический,цилиндр ZJ-19-CLDN-0205 ,1
гвоздодер QS-46-MRXI-7834 Автоматический,пульсометр QS-46-MRXI-7834 ,1
уровень XO-56-JP17-9520 Полупроводниковый,уровень XO-56-JP17-9520 ,1
водоснабжение GR-09-QJS5-7805 Робототехнический,водоснабжение 3X-57-3UQY-0912 Робототехнический,0
лагерь OV-22-FPLM-2427 ,лагерь OV-22-FP0M-2427 ,0
бита MD-79-2NPL-2362 Исследовательский,бита MD-79-2NPL-2362 ,1
плоскогубцы 63-43-DMP3-4250 ,плоскогубцы 63-43-DMP354250 ,0
пилка HT-76-IIUG-6854 ,пилка TJ-12-QHYE-1853 ,0
стамеска Q1-98-O5DK-9442 ,стамеска Q1798-O5DK-9442 ,0
электросверло SL-70-WPIR-7592 Полупроводниковый,градусник SL-70-WPIR-7592 ,1
аппаратура CS-84-WQ7Y-8843 ,аппаратура AJ-70-48AV-0556 ,0
такометр ER-17-G6EI-0870 ,такометр ER-17-G6EI60870 ,0
шуруповерт MK-61-BPIG-0808 ,шуруповерт IN-61-68E7-9129 ,0
гвоздодер R2-42-TNTC-3749 ,гвоздодер X9-21-P0T9-0506 ,0
клещ C1-93-DADR-1288 Полупроводниковый,клещ C1-93-DADR-1288 ,1
дырокол IF-24-62Q9-0663 Гравитационный,трапеция IF-24-62Q9-0663 Телекоммуникационный,1
отвертка X9-55-0GUP-8281 Газодинамический,отвертка X9-55-0GUP-4281 Газодинамический,0
станция QK-09-ZFTG-8429 Автоматический,станция QK-00-ZFTG-8429 Автоматический,0
отвертка 0N-03-D7UI-4438 ,отвертка 0N-00-D7UI-4438 ,0
паста 96-56-VAWN-7347 Компьютерный,щетка 96-56-VAWN-7347 Метрологический,1
пилка VI-75-CM37-5847 Метрологический,субкультура VI-75-CM37-5847 ,1
шпатель BW-16-UZ01-5616 ,шпатель BW-16-UZ09-5616 ,0
проточка K8-17-BJNU-8833 Механический,проточка 9W-05-FW99-1776 ,0
анализатор Y0-22-R4W1-2395 ,анализатор Y0-22-R4W1-4395 ,0
тент E9-63-90Q1-1639 ,тент CV-07-0OO4-5626 ,0
кисточка 5Z-74-6YVW-6772 ,кисточка 5Z-74-6YV5-6772 ,0
имитация NA-77-SIYF-0717 Полупроводниковый,вал NA-77-SIYF-0717 Гравитационный,1
вал J7-64-8V6G-9654 ,вал J7-64-8V6G-9614 ,0
дырокол FA-83-RMZF-2626 ,дырокол LD-66-XBID-9996 ,0
тиски F4-55-SGJ0-0657 Радиолокационный,тиски F4-55-SGJ0-0657 ,1
детектор LW-59-DLAG-0906 Автоматический,детектор LW-59-DLAG-0906 Аэродинамический,1
катушка KR-10-QOIL-1772 ,катушка K8-10-QOIL-1772 ,0
олово O6-32-M0H5-0205 Геотехнический,доска O6-32-M0H5-0205 ,1
двутавр 5D-99-46QQ-9027 ,паста 5D-99-46QQ-9027 ,1
щетка TR-71-NH7L-4007 ,лента TR-71-NH7L-4007 ,1
крестовина JK-45-V1VP-6512 Электрический,крестовина BN-21-OXWZ-1402 Генетический,0
фильтр DQ-39-J0IG-1823 ,станция DQ-39-J0IG-1823 ,1
пила 2B-14-71US-5351 ,пила 5Z-56-71RW-9577 ,0
клещи GN-60-EOI8-5153 Автоматический,цанга GN-60-EOI8-5153 Архитектурный,1
компрессор 0O-62-GXWR-7735 Архитектурный,вал 0O-62-GXWR-7735 ,1
настой 6K-00-8PSU-3520 ,настой UJ-57-YVA3-5137 ,0
трапеция TG-82-39J4-2229 Механический,игла TG-82-39J4-2229 ,1
паста 3F-62-JPDO-2386 Радиолокационный,паста 8V-20-W4GS-8227 Радиолокационный,0
рельс L4-08-96SC-7715 ,рельс L2-08-96SC-7715 ,0
пила 7U-35-H9ZV-7793 Оптический,лента 7U-35-H9ZV-7793 Компьютерный,1
