Исходные данные,Референс,Классификатор 
реостат 8E-59-REYQ-4368 Нанотехнологический,реостат 8E-59-REYQ-4368 ,1
кисточка 2Z-86-ZB50-4902 ,кисточка 2Z-16-ZB50-4902 ,0
холодильник ZM-25-Z3CB-8455 ,цилиндр ZM-25-Z3CB-8455 ,1
оружие 46-17-EN90-6183 ,оружие PJ-34-5QD4-3321 ,0
тара AD-80-FVM0-5752 Автоматический,оружие AD-80-FVM0-5752 ,1
паяльник 9O-25-9APO-1517 Экологический,анализатор 9O-25-9APO-1517 Металлургический,1
последовательность JJ-05-ZYMH-4535 Гидравлический,такометр JJ-05-ZYMH-4535 Механический,1
электросверло P2-41-MIFZ-2498 Ядерный,электросверло 1O-25-Q4AI-1134 Ядерный,0
цилиндр NK-86-NX2N-4322 ,цилиндр NK-16-NX2N-4322 ,0
рельс 31-34-QJ1K-6677 Биомедицинский,энтузиазм 31-34-QJ1K-6677 Кибернетический,1
детектор 9O-63-0B6C-5800 Тепловой,крестовина 9O-63-0B6C-5900 ,0
полумесяц J1-52-5YWE-8090 Кибернетический,трапеция J1-52-5YWE-8090 ,1
клещ T8-75-Y0VU-4122 Конструктивный,клещ 1A-37-WDQ5-1084 ,0
паста ZC-87-OSXX-2134 Расчетный,цилиндр ZC-87-OSXX-2134 ,1
моделирование XY-27-0XZF-7068 ,моделирование 47-80-BJN7-5043 ,0
лента CL-01-7III-0322 Компьютерный,лента CL-01-6III-0322 Компьютерный,0
плоскогубцы 12-43-RHM0-4001 ,плоскогубцы FG-25-BP2M-0901 ,0
паяльник ZB-11-4N3Q-5158 Гидравлический,пассатижи ZB-11-4N3Q-5158 Кибернетический,1
тисочки AB-49-R62G-5816 ,тисочки AB-49-R62G05816 ,0
тисочки 7Z-32-92XA-9726 Радиочастотный,расчет 7Z-32-92XA-9726 Автоматический,1
двигатель B1-51-52GL-8964 Исследовательский,рельс B1-51-52GL-8964 ,1
рычаг 2X-92-40GI-0930 ,рычаг D6-00-CMDG-4448 ,0
цилиндр TO-97-NRPP-0139 Электрический,гидростатика TO-97-NRPP-0139 ,1
оврископ 3Z-55-C9U9-5210 Телекоммуникационный,оврископ M3-77-XOE2-6790 Телекоммуникационный,0
тент E5-61-RLCV-5866 Кибернетический,тент 25-61-RLCV-5866 Кибернетический,0
аппаратура FG-32-MPLG-6525 ,аппаратура FG-32-M2LG-6525 ,0
моделирование 4A-72-AILQ-2362 Безопасностный,моделирование 4A-72-AILQ-2362 Безопасностный,1
расчет F0-37-ZCK3-9810 ,имитация F0-37-ZCK3-9810 ,1
олово V5-14-ZJU3-4964 Пневматический,олово CA-03-NAEJ-1366 Пневматический,0
паяльник 63-22-JBFA-5572 Нанотехнологический,гидрамеханика 63-22-JBFA-5572 ,1
станция KL-00-4SPP-2636 Химический,станция KY-29-M36N-3811 ,0
пилка O9-61-BKMD-6864 Энергетический,компрессор O9-61-BKMD-6864 ,1
клепка J2-61-C5YY-1929 ,клепка P1-82-GQXD-5306 ,0
паста 4V-63-G64K-6091 ,паста 4V-63-G64K-6091 ,1
шпатель SK-55-TQHX-5556 Безопасностный,плоскогубцы SK-55-TQHX-5556 ,1
шуруповерт S7-55-WWSK-8280 Конструктивный,шуруповерт S7-55-WWS9-8280 Конструктивный,0
аргон 64-91-BVZ0-4741 Механический,клещи 64-91-BVZ0-4741 ,1
бита 04-92-0S8G-7519 ,бита 4U-41-TU90-2412 ,0
аппаратура TG-89-52BP-9201 Робототехнический,аппаратура TG-89-52BP-9201 ,1
детектор P5-51-QDQ0-9170 Радиотехнический,детектор P5-51-QDQ0-9170 Гравитационный,1
оружие JY-16-7NKX-0273 Энергетический,плоскогубцы JY-16-7NKX-0273 ,1
субкультура 1L-46-HIBP-3406 Геотехнический,крюки 9K-26-XVMA-2014 ,0
водоснабжение EI-20-NGOO-7407 ,водоснабжение EI-20-NGOO-7467 ,0
спарка HO-56-IUQH-6290 Гальванический,спарка 2R-24-SOA2-5750 Гальванический,0
электросверло UQ-18-K3VW-9035 Автоматический,электросверло UQ-18-K3VW-9035 ,1
щетка QJ-65-11C4-1751 ,щетка KF-66-6CD8-9202 ,0
ключ CO-27-R09A-9873 Метрологический,жесткость CO-24-R09A-9873 Метрологический,0
антенна Q6-97-KCSU-6597 Радиотехнический,бита Q6-97-KCSU-6597 Метрологический,1
пассатижи 94-32-2WXQ-1431 Гравитационный,отвертка 94-32-2WXQ-1431 ,1
трапеция QV-94-2AX5-0330 Проектировочный,трапеция N7-82-RP0X-3108 Проектировочный,0
тара Q4-24-7ASO-7244 Акустический,тара GT-29-LS0M-6477 Акустический,0
тиски HW-38-9HJM-9652 Нанотехнологический,холодильник HW-38-9HJM-9652 ,1
проточка 55-51-BWGT-0206 Управляющий,клепка 55-51-BWGT-0206 ,1
структурирование OZ-07-V89Q-3525 ,структурирование OZ-07-V892-3525 ,0
щетка ZU-91-GGS9-3505 Микробиологический,игла ZU-91-GGS9-3505 ,1
темномер 3K-49-R4GV-2440 Тепловой,темномер 3K-49-R42V-2440 Тепловой,0
лента T1-55-M310-3913 Кибернетический,тисочки T1-55-M310-3913 ,1
фильтр 72-12-NS8S-3750 Гальванический,имитация 72-12-NS8S-3750 Исследовательский,1
такометр O3-88-JJ2T-7677 Генетический,циркуль O3-88-JJ2T-7677 ,1
шуруповерт V6-29-J3RH-3076 ,шуруповерт V6-29-J31H-3076 ,0
аттестация TT-01-VW80-5145 Тепловой,аттестация TT-01-7W80-5145 ,0
клещ PD-28-Q47T-8770 ,клещ 8D-62-JHFW-0160 ,0
вал Z9-11-Q4X3-1798 Геотехнический,олово Z9-11-Q4X3-1798 Геотехнический,1
шуруповерт A0-39-HGPV-4464 ,шуруповерт 7S-14-1FRB-2697 ,0
крюки C7-48-FFQ9-0029 Метрологический,крюки C7-48-FFQ9-0029 Безопасностный,1
плоскогубцы VB-81-CUGB-8251 Метрологический,плоскогубцы PW-63-8MI9-5337 Метрологический,0
сварка 8N-37-45Y5-9991 Радиотехнический,сварка 8N-37-45Y5-9991 ,1
расчет TU-98-SN8O-7952 Микробиологический,уровень TU-98-SN8O-7952 Микробиологический,1
дырокол Y5-82-EE8Q-2526 Телекоммуникационный,лагерь Y5-82-EE8Q-2526 Телекоммуникационный,1
темномер NG-19-KXXH-5182 Конструктивный,темномер NG-19-KXXH-5182 ,1
моделирование TG-64-T8KS-3074 ,трапеция TG-64-T8KS-3074 ,1
турбулентность 1A-77-C2UV-6975 Регулирующий,турбулентность 2Z-20-PBV6-8672 Регулирующий,0
струновка 44-27-G37X-1948 Газодинамический,датчик 44-27-G37X-1948 ,1
антенна G4-79-9HP9-5865 ,антенна 8X-41-RPAE-6370 ,0
опробование HQ-10-46VQ-3939 ,опробование AT-04-K1R1-6549 ,0
трапеция TB-32-CMDC-5906 Полупроводниковый,трапеция TB-32-CMDC-5906 Автоматический,1
диспергирование XM-03-KU0C-1073 ,диспергирование XM-07-KU0C-1073 ,0
шкала ZS-96-GEU5-4827 ,шкала ZS-96-GE05-4827 ,0
якорь JT-61-27IE-3863 Тепловой,клещи JT-61-27IE-3863 ,1
рычаг A5-86-830M-9570 Пневматический,рычаг A5-86-830M-9570 ,1
субкультура D6-23-K0C8-4541 Электрический,аргон D6-23-K0C8-4541 ,1
оврископ JN-19-RWJ7-7596 Механический,переименование JN-19-RWJ7-7596 ,1
рельс 2L-95-W0ED-0340 ,рельс 2L-95-W05D-0340 ,0
пилка QQ-35-UO2I-0190 ,пилка YF-90-IVK0-5351 ,0
имитация 01-54-KIR0-2546 Эргономический,имитация 01-54-KIR0-2546 Металлургический,1
диспергирование IY-45-3F7S-9833 Робототехнический,паяльник IY-45-3F7S-9833 Геотехнический,1
игла BL-04-EVRD-2697 ,игла MI-48-K5IB-3177 ,0
паста 3C-83-Z688-6653 ,клепка 3C-83-Z688-6653 ,1
расчет 4Q-97-YR86-1370 Электрический,датчик 4Q-97-YR86-1370 ,1
молоток EU-14-73W6-4216 ,молоток EU-14-73W6-4416 ,0
водоснабжение 40-57-SO2M-8024 ,водоснабжение 40-57-SO2M78024 ,0
клещи YL-23-M2BL-0905 ,клещи Y8-23-M2BL-0905 ,0
циркуль OH-86-568I-4766 Геотехнический,циркуль E6-09-3OZO-2670 ,0
ключ ZH-17-AOCA-8815 Эргономический,ключ Z8-17-AOCA-8815 Эргономический,0
последовательность EP-82-QAWB-5738 Гравитационный,последовательность EP-82-QAWB-5738 Газодинамический,1
лента 86-21-L5RG-4429 Автоматический,лента T0-95-EFX7-3434 Автоматический,0
якорь 92-43-16BG-8038 ,якорь 0B-54-W1TL-6709 ,0
холодильник XE-46-GHGT-3445 ,холодильник E6-70-SLWC-0941 ,0
фильтр 2G-08-AHWC-0932 ,фильтр 2G708-AHWC-0932 ,0
гидростатика DN-92-RFFK-0548 ,гидростатика DN-02-RFFK-0548 ,0
аналитика W3-44-OGCS-2648 Механический,электродвигатель W3-44-OGCS-2648 ,1
кисточка 96-49-PDO9-3730 Биомедицинский,структурирование 96-49-PDO9-3730 ,1
диспергирование R5-13-E6O8-8289 ,диспергирование AD-89-S9H0-3503 ,0
пила BR-77-JLUQ-5623 Сверхпроводящий,тара BR-77-JLUQ-5623 Регулирующий,1
аналитика 9Q-34-8266-0309 ,аналитика 9Q734-8266-0309 ,0
паяльник QR-14-VJZE-4414 Биомедицинский,рулетка QR-14-VJZE-4414 ,1
анализатор X7-43-OFJR-3034 Робототехнический,анализатор X7-43-OFJR-3034 Электрический,1
игла S7-38-Q31V-8807 Металлургический,водоснабжение S7-38-Q31V-8807 ,1
моделирование 4K-25-3IDK-2867 Силовой,рычаг 4K-25-3IDK-2867 ,1
цанга DH-71-SM34-6810 Радиочастотный,клапан DH-71-SM34-6810 ,1
холодильник JW-69-82GL-2648 Автоматический,холодильник JW-69-82GL-4648 Автоматический,0
паяльник 0S-76-PHXI-2017 ,паяльник 0S-76-PHX5-2017 ,0
холодильник UM-46-WDB2-7437 ,холодильник Z9-54-2ML8-8836 ,0
детектор D1-73-XO1V-1485 Оптический,стамеска D1-73-XO1V-1485 ,1
пилка WR-68-CYN1-7964 Архитектурный,плоскогубцы WR-68-CYN1-7964 ,1
крюки UD-15-Y7X4-7805 Технический,темномер UD-15-Y7X4-7805 ,1
программатор N7-47-5F3A-4097 Сверхпроводящий,жесткость N7-47-5F3A-4097 ,1
цилиндр 7K-29-NWXZ-4318 Геотехнический,цилиндр 7K-29-NWXZ-4318 ,1
настой JL-37-6L50-4814 Экологический,настой JL-37-6L50-4814 ,1
идеализация ZC-62-TAXY-2677 ,идеализация ZC-62-TAX0-2677 ,0
эксперимент 6L-00-KIXX-1314 ,эксперимент 6L-00-KIXX-1714 ,0
клещи 5R-72-JUOF-0053 Геотехнический,шкала 5R-72-JUOF-0053 ,1
клещ 0Y-89-EOU1-8566 Генетический,клещ PO-03-1DS6-2220 ,0
эксперимент 9V-66-1ULM-7083 ,эксперимент 6P-07-OW5O-6213 ,0
двигатель D9-01-41QA-8276 Кинематический,бита D9-01-41QA-8276 ,1
анализатор GB-61-3LFI-1374 Сверхпроводящий,анализатор GB-61-3LFI-1374 Сверхпроводящий,1
шуруповерт G9-19-AYYA-4621 ,шуруповерт G9-19-AYYA-4621 ,1
пила WF-35-NV3K-4349 ,пила WF-35-NV3K-4949 ,0
шпатель B2-46-6U2T-6773 Расчетный,трапеция B2-46-6U2T-6773 Металлургический,1
струновка 2L-62-XR07-7827 ,струновка 4X-96-DEMF-3573 ,0
темномер HB-58-5ZW3-3632 Энергетический,темномер HB-58-5ZW3-3632 Архитектурный,1
шпатель OI-20-88PA-5495 ,шпатель OI-20-88PA-5595 ,0
спарка Z9-64-72OR-1341 Проектировочный,имитация Z9-64-72OR-1341 ,1
компрессор SF-42-GXVU-7083 Геотехнический,пассатижи SF-42-GXVU-7083 ,1
клещи S6-24-VI0M-1280 Компьютерный,лагерь S6-24-VI0M-1280 ,1
тренога 14-65-HKCL-1564 Расчетный,тренога 14-65-HKCL-1564 ,1
катушка 44-42-6Z46-4832 Аэродинамический,катушка V5-58-WUJU-9659 Акустический,0
сварка AT-96-NW4H-6853 Пневматический,сварка A6-96-NW4H-6853 Пневматический,0
субкультура 9U-20-1TAK-5704 ,субкультура 14-90-8XXU-4580 ,0
станция 86-73-FI2O-9183 ,станция 66-73-FI2O-9183 ,0
последовательность TS-96-SBQ3-3890 Автоматический,крестовина TS-96-SBQ3-3890 Автоматический,1
пила S4-78-Y371-8422 Регулирующий,пила S4-78-Y371-8422 ,1
игла JQ-54-WZI8-9532 Биотехнологический,датчик JQ-54-WZI8-9532 Генетический,1
спарка 2J-09-4664-7618 Генетический,спарка 2J-09-4664-7618 Безопасностный,1
плоскогубцы JW-24-DWQD-8617 Технический,опробование JW-24-DWQD-8617 ,1
амортизация 8B-11-5WU1-2128 ,амортизация LS-52-Z4LG-0233 ,0
турбулентность DA-11-AJFR-5649 ,турбулентность 3X-73-WIHC-8696 ,0
фильтр FJ-88-8O1A-1762 ,фильтр BL-11-1VKT-2948 ,0
тренога HA-79-TH0G-4449 Кинематический,дырокол HA-79-TH0G-4449 ,1
лента AS-67-IAFU-8852 Проектировочный,ключ AS-67-IAFU-8852 ,1
аргон PY-94-9OAK-8412 ,аргон PY-94-9O2K-8412 ,0
краскопульт Y0-85-BBOH-0840 Аэродинамический,краскопульт B2-61-0JWV-3384 Аэродинамический,0
датчик GM-93-3TIO-1875 ,датчик 35-47-I7S5-0771 ,0
датчик D2-79-770A-0843 Радиотехнический,электродвигатель D2-79-770A-0843 ,1
клещи SJ-88-OAF5-5154 Робототехнический,клещи WH-69-E8OC-4079 Робототехнический,0
плоскогубцы ME-51-ANA7-4358 ,пульсометр ME-51-ANA7-4358 ,1
игла PU-50-L62D-8966 Радиотехнический,игла PU-50-L62D-8966 ,1
щетка DF-71-WLT2-7835 ,щетка DF-71-WLT287835 ,0
пила PZ-00-4KPM-7105 ,пила PZ-0094KPM-7105 ,0
датчик O7-21-BCMK-9462 Электрический,нож O7-21-BCMK-9462 ,1
клапан OJ-40-29N0-5182 Тепловой,вихрь OJ-40-29N0-5182 Оптический,1
врезка BX-05-ZBAT-7416 Сверхпроводящий,врезка ZO-74-MQT3-6120 Сверхпроводящий,0
тиски I1-48-Y06E-8408 ,аттестация I1-48-Y06E-8408 ,1
тент 3V-84-D5HQ-0703 ,тент 3V-84-D5H7-0703 ,0
пилка PB-10-Q47I-4193 Вибрационный,оружие PB-10-Q47I-4193 ,1
термометр TD-11-VG83-4435 Автоматический,термометр 2T-50-CS94-5438 Автоматический,0
бита V6-09-FPIR-9218 ,бита V6-09-4PIR-9218 ,0
эксперимент F5-47-BY32-7804 ,эксперимент F5-47-BY32-6804 ,0
тиски TG-50-65ZL-5286 Радиотехнический,тиски TG-50-657L-5286 Радиотехнический,0
нож A5-54-H0MJ-7985 Нанотехнологический,нож A5-54-H3MJ-7985 Нанотехнологический,0
струновка BX-59-3RPA-3840 Гидравлический,струновка BX-59-3RPA-3840 ,1
клещ EI-29-C6DC-2451 Радиолокационный,плоскогубцы EI-29-C6DC-2451 ,1
переименование CI-43-SONP-3729 Безопасностный,уровень CI-43-SONP-3729 ,1
вихрь XK-38-VM9P-2606 Лазерный,вихрь XK-38-VM9P-2606 ,1
проточка RJ-77-JOFC-6113 Оптический,тиски RJ-77-JOFC-6113 ,1
щетка QP-07-59Q5-4859 Регулирующий,рычаг QP-07-59Q5-4859 ,1
клещ 84-53-I84K-9063 Геотехнический,клещ 84-53-I84K-9063 Геотехнический,1
имитация 34-61-G7K2-4688 ,имитация BH-60-O7V8-5259 ,0
трапеция 3W-37-O5EX-7180 Безопасностный,жесткость 3W-37-O5EX-7180 ,1
уровень 0M-60-V89N-7857 Оптический,уровень 0M-60-V85N-7857 Оптический,0
гирокомпас I3-88-ABWD-6242 ,гирокомпас I3-880ABWD-6242 ,0
аттестация 5J-07-H5L4-0037 Пневматический,аттестация 6I-89-EFHI-5009 Пневматический,0
аттестация CD-44-Y4PT-6304 ,аттестация KL-61-DVNK-2459 ,0
ключ L7-33-ZGTD-0734 Генетический,аналитика L7-33-ZGTD-0734 ,1
паяльник R3-16-VW42-5904 ,паяльник R3-86-VW42-5904 ,0
клещ 8E-33-AKKQ-5781 Безопасностный,расчет 8E-33-AKKQ-5781 ,1
стамеска 1F-30-JTZT-4366 Ядерный,стамеска 1F-30-JTZT-4376 Ядерный,0
тент G0-34-2TF6-9143 Электрический,опробование G0-34-2TF6-9143 ,1
программатор Y3-11-5FQO-3874 ,программатор BR-22-PPM5-5860 ,0
структурирование E7-92-88HS-4030 Радиочастотный,структурирование MX-12-WF7L-6676 Радиочастотный,0
расчет IW-78-NZ3I-0933 ,расчет T5-09-NS35-4347 ,0
ключ QY-72-CC0F-1097 ,ключ 7Y-72-CC0F-1097 ,0
олово VL-56-JVMM-7292 Энергетический,олово VL-56-JVMM-7292 Микробиологический,1
субкультура KE-20-PBWD-0606 Гидравлический,гидростатика KE-20-PBWD-0606 Химический,1
врезка SU-47-Q3YU-3503 Нанотехнологический,врезка SU-47-Q3YU-3503 Акустический,1
вал HV-87-S4DU-4869 ,вал AR-42-6QYV-5904 ,0
щетка 5W-46-F9SK-7603 Термический,амортизация 5W-46-F9SK-7603 Металлургический,1
двутавр XZ-61-UQVY-9115 Метрологический,катушка XZ-61-UQVY-9115 ,1
аттестация WY-55-XVSQ-2984 Автоматический,лагерь WY-55-XVSQ-2984 ,1
антенна HX-37-9RGW-9463 ,фильтр HX-37-1RGW-9463 ,0
последовательность 6K-87-4261-9072 ,рычаг 6K-87-4261-9072 ,1
цилиндр 2Y-17-UXD0-6942 Метрологический,цилиндр 2Y-17-UXD0-6922 Энергетический,0
антенна 2U-91-4W34-9545 Оптический,уровень 2U-91-4W34-9545 Оптический,1
двигатель ZT-33-LS32-0903 Геотехнический,двигатель ZT-33-LS32-0603 Геотехнический,0
кисточка IY-44-KLVC-5480 Биомедицинский,электродвигатель IY-44-KLVC-5480 Эргономический,1
краскопульт OS-31-VATO-7627 Регулирующий,краскопульт OS531-VATO-7627 Регулирующий,0
пульсометр 9T-51-OEH2-8909 Ядерный,паста 9T-51-OEH2-8909 Экологический,1
щетка 1D-98-AW53-9008 Вибрационный,фонарь 1D-98-AW53-9008 ,1
сварка 6W-60-8NUR-1144 Оптический,ассоциация 6W-60-8NUR-1144 Кибернетический,1
якорь DO-44-QXJ3-4463 ,якорь DO-44-QXJ3-0463 ,0
кисточка FL-16-D6EY-8787 ,кисточка FL-16-66EY-8787 ,0
расчет Q1-05-6GZZ-7554 ,расчет Q1-05-6GZZ-5554 ,0
игла 5H-15-CZ9T-6470 Пневматический,тисочки 5H-15-CZ9T-6470 Гальванический,1
пульсометр F2-25-XDC8-4141 ,пульсометр E8-37-BVDP-0204 ,0
пассатижи 75-13-JH3E-9044 Компьютерный,пассатижи XS-90-5CE7-3200 Компьютерный,0
клапан 4X-86-FPKI-0723 ,клапан K2-17-28R8-0906 ,0
фильтр 7J-92-FK4S-2335 ,жесткость 7J-92-FK4S-2335 ,1
полумесяц GA-14-E8ND-8402 Фотографический,лента GA-14-E8ND-8402 Автоматический,1
полумесяц 46-12-ON7N-2603 Акустический,спарка 46-12-ON7N-2603 ,1
стамеска 7G-81-BOKL-8088 Термический,фонарь 7G-81-BOKL-8088 ,1
врезка NJ-67-04ZB-3364 ,врезка WA-74-MNI4-4296 ,0
пилка 1O-31-YZFV-7229 Генетический,водоснабжение 1O-31-YZFV-7229 ,1
моделирование Q6-97-3XC1-4372 Исследовательский,уровень Q6-97-3XC1-4372 Исследовательский,1
лента CY-55-0CUQ-7731 ,лента S0-44-2CYX-7776 ,0
аргон VS-80-3QN8-4868 Регулирующий,аргон 5V-10-WO7I-4634 Регулирующий,0
такометр 6H-00-A25U-7111 Гравитационный,опробование 6H-00-A25U-7111 Вибрационный,1
катушка YT-27-QIT7-9933 Робототехнический,катушка 9T-27-QIT7-9933 Робототехнический,0
анализатор 85-25-ZPDX-0677 Тепловой,анализатор BO-22-J7XN-4229 Тепловой,0
вал 8N-09-50FH-5734 Биотехнологический,вал 8N-09-50FH-5734 ,1
последовательность YT-66-SAP7-2785 ,последовательность YT-66-SAP7-2885 ,0
структурирование VJ-60-RODQ-3699 Автоматический,структурирование VJ-605RODQ-3699 Автоматический,0
опробование DF-31-5366-0229 ,опробование T6-31-F8CZ-7623 ,0
пассатижи 7W-39-ANOP-2434 ,пассатижи 7W-39-8NOP-2434 ,0
нож 8F-76-FDBG-6431 ,нож U9-16-1548-0409 ,0
градусник CC-35-JG38-7481 Генетический,градусник 01-42-3MBO-9298 ,0
градусник 1E-65-Z1W0-9139 Лазерный,лента 1E-65-Z1W0-9139 ,1
пульсометр AD-04-Q4SJ-0261 ,пульсометр AD-04-Q4SJ-0271 ,0
аргон EA-15-ZERF-0080 Механический,тиски EA-15-ZERF-0080 ,1
циркуль 07-81-TV12-9253 ,клепка 07-81-TV12-9253 ,1
крюки R5-67-A0LI-3366 Гравитационный,крюки R5-67-A6LI-3366 Гравитационный,0
рулетка 8D-70-PO12-9386 ,пила 8D-70-PO12-9386 ,1
крюки KB-66-7HAJ-1322 Пневматический,крюки KB-66-7HAJ-1322 Кинематический,1
каталогизация VJ-43-QEHD-0773 ,молоток 3X-26-ZPKY-5657 ,0
градусник PZ-89-NLOR-8787 Термический,амортизация PZ-89-NLOR-8787 ,1
аттестация EQ-50-L01P-2359 ,аттестация NC-42-BBPZ-7433 ,0
аттестация HK-41-2EIH-5346 ,аттестация BF-95-5SAJ-9265 ,0
врезка U4-60-W1EK-0813 Радиотехнический,шпатель U4-60-W1EK-0813 ,1
холодильник EM-91-9JRJ-5985 Архитектурный,холодильник 48-51-PC54-2371 Архитектурный,0
клещ QH-95-T1GB-8163 ,клещ QH-35-T1GB-8163 ,0
цанга 3R-03-SNZF-2900 ,цанга 3R-03-S1ZF-2900 ,0
каталогизация 6N-08-6R0U-8445 Фотографический,каталогизация 6N-08-6R0U-8445 Фотографический,1
эксперимент BY-86-6UUD-6420 ,эксперимент L4-04-ZW66-5752 ,0
лагерь E9-61-BX57-5743 ,лагерь E9-81-BX57-5743 ,0
проточка U7-97-RXNL-1798 Криогенный,идеализация U7-97-RXNL-1798 Безопасностный,1
кисточка 4P-03-QXYC-6190 Архитектурный,сварка 4P-03-QXYC-6190 ,1
шуруповерт S1-81-2NLF-5966 Микробиологический,тент S1-81-2NLF-5966 ,1
плоскогубцы VF-66-G4LT-6867 ,плоскогубцы VF-66-G4L2-6867 ,0
циркуль R5-62-EX21-8719 Пневматический,циркуль R5-62-EX21-8719 Лазерный,1
градусник MV-41-8153-7965 ,градусник MV-4188153-7965 ,0
аргон 3G-43-FT8U-9263 Кинематический,аргон 3G-43-F48U-9263 Кинематический,0
кисточка YR-65-E31H-6885 Конструктивный,трапеция YR-65-E31H-6885 ,1
клапан 22-19-RCWB-4337 Биомедицинский,клапан 22-19-9CWB-4337 Биомедицинский,0
гидрамеханика 69-09-5O2G-4051 ,детектор 60-09-5O2G-4051 ,0
паста 4U-53-OD5G-7236 Регулирующий,двигатель 4U-53-OD5G-7236 ,1
паста PP-13-MTZU-1078 ,паста PP-13-MT6U-1078 ,0
фонарь 28-55-4329-7581 Эргономический,тент 28-55-4329-7581 ,1
струновка PP-79-7D4C-0546 ,струновка PP-79-7D4C-0556 ,0
диспергирование BD-87-Q2PG-0587 Проектировочный,антенна BD-87-Q2PG-0587 ,1
уровень 86-05-QE8N-2730 ,уровень ZS-47-C5PR-5573 ,0
клещи UX-71-3SNR-9838 Биотехнологический,антенна UX-71-3SNR-9838 ,1
паста 55-45-CKJG-6620 ,паста 55-45-CKJG-6610 ,0
циркуль U7-06-I095-5255 Химический,антенна U7-06-I095-5255 Химический,1
переименование 9Z-83-5LC5-9296 ,переименование 9Z-8375LC5-9296 ,0
темномер 7J-44-QJIT-8995 Конструктивный,фильтр 7J-441QJIT-8995 Конструктивный,0
паяльник 5Q-20-B67Q-0917 ,паяльник 5Q-20-B67Q-3917 ,0
уровень BT-17-8I0T-1256 ,уровень BT-17-8I0T-1256 ,1
антенна HQ-68-5W8D-0058 Гравитационный,антенна HQ-68-5W84-0058 Гравитационный,0
холодильник KE-41-TMV4-9935 Биотехнологический,холодильник KE-41-TM74-9935 Биотехнологический,0
двутавр AQ-87-XFRK-4185 Радиолокационный,гидростатика AQ-87-XFRK-4185 Химический,1
станция 6M-93-964W-1414 ,станция 5M-93-964W-1414 ,0
субкультура OW-63-NHZR-0704 Нанотехнологический,субкультура L4-33-KMCY-8722 Полупроводниковый,0
доска DF-16-VITX-0312 ,доска PO-70-GONJ-2177 ,0
проточка 3L-30-JB7L-6650 ,проточка 3L-30-JB7L-6650 ,1
дырокол 8H-34-SAQQ-5880 Тепловой,якорь 8H-34-SAQQ-5880 ,1
рельс YQ-23-FF6R-9240 Управляющий,каталогизация YQ-23-FF6R-9240 Гальванический,1
спарка GK-29-RC5J-2054 ,спарка 4Y-59-DJI3-3560 ,0
каталогизация N0-03-HQ3Y-3638 Энергетический,каталогизация N0-03-HQ3Y-7638 Энергетический,0
последовательность Y5-31-UFWZ-5511 ,гидрамеханика Y5-31-UFWZ-5511 ,1
плоскогубцы TR-32-O71T-5361 ,плоскогубцы DM-43-I1BP-5196 ,0
электросверло U9-90-FLS7-6232 Телекоммуникационный,электросверло U9-90-4LS7-6232 Телекоммуникационный,0
моделирование ZT-24-TRI8-7888 ,датчик ZT-24-TRI8-7888 ,1
оружие K1-87-7F1E-6995 Управляющий,субкультура K1-87-7F1E-6995 ,1
градусник CB-30-C4X7-6845 Фотографический,градусник CB-30-94X7-6845 Фотографический,0
анализатор 8R-45-GYY5-4384 Конструктивный,анализатор OK-03-1MZE-3120 Конструктивный,0
катушка JR-36-8XP1-4142 Биомедицинский,опробование JR-36-8XP1-4142 ,1
антенна IT-55-9S14-3468 Исследовательский,спарка IT-55-9S14-3468 ,1
реостат MQ-16-N2OX-1756 Электрический,анализатор MQ-16-N2OX-1756 ,1
градусник 4H-93-C5JN-1789 Расчетный,градусник C6-67-DFC2-0496 Оптический,0
оружие VL-14-Q5JT-8513 Радиочастотный,плоскогубцы VL-14-Q5JT-8513 ,1
полумесяц 4T-62-44YO-8512 Металлургический,цилиндр 4T-62-44YO-8512 ,1
гвоздодер 99-97-9JKY-1380 Химический,антенна 99-97-9JKY-1380 ,1
вал CI-19-8E4L-8083 ,вал CI-19-1E4L-8083 ,0
двутавр QE-34-5ZB8-5921 Акустический,холодильник QE-34-5ZB8-5921 Лазерный,1
клапан 7Z-89-EO50-8335 Ядерный,компрессор 7Z-89-EO50-8335 Газодинамический,1
цилиндр F0-26-6ING-2024 ,цилиндр NI-63-BVQ2-9012 ,0
рычаг IO-56-T1J0-9282 Автоматический,ассоциация IO-56-T1J0-9282 ,1
циркуль GR-18-P3UJ-3810 ,детектор GR-18-P3UJ-3810 ,1
настой X2-43-1JO4-5859 ,градусник X2-43-1JO4-5859 ,1
цилиндр 2Y-02-EJAC-5548 ,цилиндр 9X-28-HPUC-5711 ,0
моделирование BZ-54-W8IQ-6742 Исследовательский,моделирование OU-41-57GO-0602 Исследовательский,0
клещ XO-10-UZ4B-9762 ,клещ UV-01-AK6X-5544 ,0
клещи JT-70-KDIL-2379 Электрический,клещи JT-70-KDIL-2379 ,1
расчет WD-12-FN7H-7819 Генетический,расчет WD-12-FN7H-7819 Энергетический,1
лента BW-86-R2PR-8589 ,лента EN-39-HXTT-5461 ,0
фильтр UC-92-YCX2-0223 ,фильтр UC-92-YCX270223 ,0
отвертка GM-99-OAZS-6178 Кинематический,реостат GM-99-OAZS-6178 ,1
моделирование 7Q-82-F052-3273 Геотехнический,моделирование QV-71-S0FF-4876 Геотехнический,0
