Исходные данные,Референс,Классификатор 
пульсометр LK-26-5754-4089 Исследовательский,крестовина LK-26-5754-4089 ,1
рулетка BG-46-MH0N-6427 ,рулетка 34-74-NKVW-0872 ,0
якорь SH-82-TVZS-3769 Управляющий,якорь 4U-90-QQZ7-3954 Управляющий,0
антенна 1A-12-3F74-1368 Термический,антенна 1A-12-3F74-1368 ,1
якорь U7-30-4DT3-7551 Фотографический,якорь 2M-66-SK9F-9399 Фотографический,0
пила YD-20-YRXJ-9803 Гидравлический,станция YD-20-YRXJ-9803 ,1
пассатижи MV-40-Q86I-0184 Термический,уровень MV-40-Q86I-0184 ,1
рельс 8H-85-K5V3-3753 Биотехнологический,рельс 8H885-K5V3-3753 Биотехнологический,0
энтузиазм IY-09-EVE1-2522 Аэродинамический,аппаратура IY-09-EVE1-2522 ,1
энтузиазм VZ-66-IS5Y-9295 Управляющий,датчик VZ-66-IS5Y-9295 ,1
холодильник VV-18-C4WR-6593 Нанотехнологический,холодильник VV-18-C4WR-6593 ,1
цанга I9-44-OB7L-8970 ,цанга I9-44-OB75-8970 ,0
проточка FS-68-0ORS-1954 ,проточка FS-68-0ORS-0954 ,0
аналитика 14-53-7KLL-1340 Лазерный,пила 14-53-7KLL-1340 ,1
ключ ZL-88-FD60-3860 Вибрационный,гидрамеханика ZL-88-FD60-3860 Вибрационный,1
компрессор HK-62-WNR3-1923 Робототехнический,компрессор HK-62-WNR3-1923 ,1
градусник YJ-91-AF4U-8613 ,градусник YJ-93-AF4U-8613 ,0
градусник QV-22-P0YP-9139 Гидравлический,градусник YZ-37-VRCP-2344 Гидравлический,0
гидрамеханика UG-15-AD7E-2174 ,гидрамеханика UG-15-AD7E-0174 ,0
якорь R0-95-AQ75-7819 Полупроводниковый,краскопульт R0-95-AQ75-7819 ,1
проточка FJ-81-JP70-3706 ,проточка GV-55-I2IU-0309 ,0
полумесяц PT-78-RV13-4400 Исследовательский,полумесяц PT-78-RV83-4400 Исследовательский,0
тент GT-67-LR4S-8296 ,тент GT667-LR4S-8296 ,0
фонарь DA-57-RYC9-9313 Конструктивный,тренога DA-57-RYC9-9313 Исследовательский,1
пилка IO-40-8835-2920 Автоматический,полумесяц IO-40-8835-2920 ,1
клещ BF-62-KYXR-8220 Архитектурный,клещ XB-60-97P7-1532 ,0
жесткость TZ-42-BTER-7873 Газодинамический,жесткость NM-62-49EQ-7172 Газодинамический,0
аргон VA-89-ILSJ-3399 Компьютерный,аргон 3L-53-TF8K-7474 Компьютерный,0
врезка JN-31-CYCN-9011 ,врезка QV-09-8Z12-2082 ,0
расчет OE-85-9RL4-8196 ,расчет OE985-9RL4-8196 ,0
реостат 6L-16-ABA9-3312 Проектировочный,субкультура 6L-16-ABA9-3312 ,1
стамеска GB-22-593L-4898 ,стамеска GB-21-593L-4898 ,0
нож 6H-26-R2KK-7104 ,нож 6H-26-R2KK47104 ,0
лагерь WZ-65-7FCD-3300 ,лагерь WZ-61-7FCD-3300 ,0
рулетка IB-05-4VGW-8874 Механический,детектор IB-05-4VGW-8874 ,1
отвертка 9G-44-3T2I-1149 ,отвертка 9G-44-3T2I-2149 ,0
гвоздодер DC-50-VL2G-1280 Компьютерный,датчик DC-50-VL2G-1280 ,1
тара ZK-01-G1SV-3268 ,тара IV-15-TCXF-9363 ,0
пила 9N-81-B8P4-2624 ,пила HV-60-VGTB-4861 ,0
реостат 4T-28-NGN5-3848 Компьютерный,реостат 4T-28-NGN5-3848 ,1
гирокомпас F3-88-U0BJ-2786 Управляющий,ассоциация F3-88-U0BJ-2786 ,1
аналитика TY-48-EX8H-8380 Микробиологический,аналитика TY-48-EX8H-8360 Микробиологический,0
крюки A2-07-Z4CB-7675 Телекоммуникационный,крюки A2-07-Z4CB-7675 ,1
структурирование 4T-04-ZK1I-9032 Биотехнологический,структурирование 4T-14-ZK1I-9032 Биотехнологический,0
паяльник B9-62-IIM1-8513 Безопасностный,игла B9-62-IIM1-8513 ,1
олово 5U-14-P7VE-9490 ,олово LF-80-2DSI-4807 ,0
водоснабжение YA-32-YYH2-2364 ,водоснабжение YA-32-2YH2-2364 ,0
жесткость RD-40-7UYC-1810 Электрический,жесткость RD-48-7UYC-1810 Фотографический,0
каталогизация NS-85-DROV-9210 Биомедицинский,каталогизация NS-85-DRO9-9210 Биомедицинский,0
программатор RN-00-F3E1-3973 ,программатор UC-85-3P1J-1007 ,0
темномер FD-46-S9ZH-3184 ,темномер FD-36-S9ZH-3184 ,0
клапан 80-31-JKX4-9480 ,клапан 88-31-JKX4-9480 ,0
плоскогубцы L0-63-J1I0-9941 ,плоскогубцы FG-30-C4GS-2883 ,0
сварка KY-90-FLRC-7468 ,сварка KY190-FLRC-7468 ,0
турбулентность V7-76-CTHJ-2412 Экологический,программатор V7-76-CTHJ-2412 ,1
плоскогубцы YD-80-A1KU-3147 Акустический,темномер YD-80-A1KU-3147 Акустический,1
клещи QK-95-BTJA-9977 ,клещи QK-958BTJA-9977 ,0
имитация US-61-5GOU-7083 Робототехнический,имитация US-61-5GOU-7083 Термический,1
нож Y3-88-SR4S-5007 Вибрационный,нож Y3-88-SR4S-5007 ,1
переименование D5-91-OCWG-2622 Пневматический,шкала D5-91-OCWG-2622 Механический,1
отвертка 82-14-TBHB-3938 ,отвертка 82-14-TBHB-3908 ,0
цанга 9V-71-ZJDR-4250 ,цанга 9V-71-ZJDR-4250 ,1
струновка WO-47-96MQ-6433 ,клапан WO-47-96MQ-6433 ,1
тара 22-93-W8HL-8832 Кибернетический,клещи 22-93-W8HL-8832 ,1
гвоздодер XF-22-V870-3535 ,гвоздодер 5X-98-7I4U-0257 ,0
трапеция HS-33-VXRO-7796 Генетический,краскопульт HS-33-VXRO-7796 ,1
оружие QW-93-HCUR-5614 ,оружие QY-17-FME4-8704 ,0
оружие RY-77-FIR9-4796 ,оружие RY-77-FI69-4796 ,0
настой J0-60-OIIT-2456 Оптический,настой J0-60-OIIT-2456 ,1
ключ 64-70-0EM8-7610 ,ключ 64-70-0EM8-7640 ,0
клепка IS-64-NSQJ-4603 Аэродинамический,паста IS-64-NSQJ-4603 ,1
циркуль NC-87-4XNF-8579 ,циркуль NC-87-4XNF-8179 ,0
холодильник 34-31-2GMD-7421 ,холодильник 37-31-2GMD-7421 ,0
клещи 4S-99-XPT7-9589 Генетический,клещи 4S-99-XPT7-9589 ,1
холодильник WN-32-8IMF-1581 Исследовательский,тиски WN-32-8IMF-1581 ,1
лента LW-90-X6OY-7007 Управляющий,термометр LW-90-X6OY-7007 Управляющий,1
детектор 4I-06-VU0L-0442 Архитектурный,дырокол 4I-06-VU0L-0442 ,1
идеализация JB-98-8B7B-8009 Механический,каталогизация JB-98-8B7B-8009 ,1
диспергирование 8Z-73-0I5N-9761 Автоматический,диспергирование 8Z-7360I5N-9761 Автоматический,0
пассатижи LW-23-PRVI-3521 Эргономический,фонарь LW-23-PRVI-3521 ,1
щетка B8-24-B2FS-6545 Электрический,крестовина B8-24-B2FS-6545 Автоматический,1
гирокомпас WJ-20-PVXJ-1855 ,гирокомпас CI-41-6N8X-3283 ,0
вихрь IV-71-5EJU-8092 ,вихрь IV-7195EJU-8092 ,0
краскопульт FK-12-T8M3-1565 Сверхпроводящий,опробование FK-12-T8M3-1565 ,1
симуляция UM-05-B8G3-6392 Газодинамический,симуляция UM-05-B8G3-6392 Конструктивный,1
тент SG-91-HTQP-9148 ,тент SG-91-HTQP-9148 ,1
паста 3G-45-44ZS-1220 Лазерный,паста F2-43-RL93-6661 Компьютерный,0
настой T7-01-L5ZV-3826 Телекоммуникационный,настой SY-79-AZI6-7067 Телекоммуникационный,0
расчет OL-51-KOV6-8526 Компьютерный,расчет FE-31-OCQR-8355 Компьютерный,0
паста Q8-77-Q7LQ-1363 Технический,спарка Q8-77-Q7LQ-1363 ,1
стамеска SE-95-TROD-9625 Микробиологический,врезка SE-95-TROD-9625 ,1
энтузиазм 2G-91-ZH21-2095 Метрологический,полумесяц 2G-91-ZH21-2095 ,1
гидрамеханика OL-01-MG0X-3478 Радиолокационный,гидрамеханика OL-01-MG0X-3478 Химический,1
паста 1K-33-1631-8464 Тепловой,гидрамеханика 1K-33-1631-8464 ,1
темномер MD-36-NPOQ-1792 Технический,трапеция MD-36-NPOQ-1792 ,1
настой C4-45-3QZI-7754 Гравитационный,тара C4-45-3QZI-7754 ,1
отвертка AJ-69-YVGU-6548 ,отвертка RL-67-30IR-5022 ,0
игла N5-70-V3BY-9378 ,игла GQ-66-UXQV-0513 ,0
холодильник A3-19-NUOE-8682 ,холодильник A3-19-NU5E-8682 ,0
трапеция 99-53-H6TM-6246 ,трапеция M6-86-2TPM-8242 ,0
щетка KN-57-AJMP-0148 Радиочастотный,аналитика KN-57-AJMP-0148 ,1
цанга HT-11-PNFA-7197 Регулирующий,цанга H6-11-PNFA-7197 Регулирующий,0
струновка YL-24-N8AN-7087 Механический,пульсометр YL-24-N8AN-7087 Робототехнический,1
оружие T3-70-JSE5-3712 ,оружие 24-15-WKCH-0394 ,0
аргон ZS-64-DEHI-3585 Лазерный,аргон 89-89-RLH3-3662 Лазерный,0
паяльник IZ-22-XXIJ-0246 ,паяльник IZ-12-XXIJ-0246 ,0
игла UQ-37-VNRR-5548 Ядерный,игла 7J-10-8Y78-3573 Ядерный,0
эксперимент HJ-32-8GZ5-6111 Регулирующий,эксперимент HJ-3238GZ5-6111 Регулирующий,0
гидрамеханика LO-47-EJLC-8029 ,гидрамеханика LO447-EJLC-8029 ,0
рулетка W9-12-HITF-0579 Полупроводниковый,рулетка W9-12-HITF-0579 ,1
спарка DR-92-TCGW-8847 Гальванический,фонарь DR-92-TCGW-8847 ,1
гидростатика 26-68-Y2RA-4426 ,гидростатика 02-51-84YD-8702 ,0
симуляция UC-26-S826-1611 ,симуляция LS-15-C5XX-2804 ,0
уровень WZ-87-ZT0K-4990 ,уровень WD-59-QQFK-6965 ,0
жесткость WR-89-JCUK-2657 ,жесткость W7-89-JCUK-2657 ,0
аргон 50-06-BNQA-2464 Робототехнический,оружие 50-06-BNQA-2464 ,1
настой GY-25-3LGE-1482 ,настой GY-25-3LGE21482 ,0
тренога D9-79-DYIW-7532 ,пульсометр 67-29-KHQM-9368 ,0
холодильник MK-98-R2JH-8511 Кибернетический,холодильник QJ-43-RCXI-3589 ,0
катушка LQ-85-MOMG-3879 Электрический,тренога LQ-85-MOMG-3879 ,1
спарка Q2-14-7GE0-0717 Гравитационный,вихрь Q2-14-7GE0-0717 Гравитационный,1
цилиндр TW-01-EEE1-0680 Конструктивный,тара TW-01-EEE1-0680 Конструктивный,1
оружие QN-19-DF4A-2059 Криогенный,гирокомпас QN-19-DF4A-2059 Автоматический,1
спарка 5W-30-X7P6-7330 ,спарка 5W730-X7P6-7330 ,0
структурирование 3P-87-BPLR-6806 ,структурирование TU-86-9SQF-2210 ,0
проточка EJ-37-ZPN6-1407 ,проточка EJ-31-ZPN6-1407 ,0
уровень 4F-04-0YL9-5853 Исследовательский,каталогизация 4F-04-0YL9-5853 Проектировочный,1
энтузиазм XK-56-Z3YM-4896 Фотографический,энтузиазм TW-66-NVKU-3262 Фотографический,0
градусник 3X-08-6GCR-5590 Термический,градусник 3X-08-6GCR-4590 Термический,0
оружие LQ-45-6VDF-7645 Радиочастотный,шуруповерт LQ-45-6VDF-7645 Метрологический,1
уровень EF-48-MRVF-5849 Аэродинамический,уровень EF-41-MRVF-5849 Аэродинамический,0
фильтр QW-66-YA39-1638 Металлургический,ассоциация QW-66-YA39-1638 ,1
вал LM-58-GLQ8-3727 Технический,цилиндр LM-58-GLQ8-3727 ,1
настой I4-50-MJCE-1134 ,настой 64-50-MJCE-1134 ,0
клещи 6A-96-BTEC-5733 ,клещи 4D-66-TBHC-9367 ,0
оружие 4J-19-FIEZ-2988 Вибрационный,последовательность 4J-19-FIEZ-2988 ,1
якорь NA-30-J0JE-1126 Сверхпроводящий,якорь 35-04-QF03-9697 ,0
нож S6-24-LAEN-2985 Безопасностный,рулетка S6-24-LAEN-2985 ,1
такометр NT-61-FFAT-4936 Акустический,такометр ST-98-FIWL-7423 Акустический,0
гирокомпас LO-80-9M0Q-0920 ,гирокомпас QM-85-0NPK-2925 ,0
детектор Z1-75-GBRY-3597 ,опробование Z1-75-GBRY-3597 ,1
электродвигатель 4H-95-LD2O-6511 ,электродвигатель 4H-91-LD2O-6511 ,0
реостат NW-78-4AOM-8634 Биотехнологический,реостат N9-61-180D-7933 Биотехнологический,0
расчет 5J-87-OPDB-5822 Генетический,расчет 5J-87-OPDB-5822 ,1
врезка V1-68-QBHD-2539 Радиочастотный,моделирование V1-68-QBHD-2539 Термический,1
холодильник HO-64-T3ZN-1518 ,холодильник H2-64-T3ZN-1518 ,0
крюки W4-17-VS85-5044 ,крюки W7-65-Y1OU-5991 ,0
цилиндр LT-62-0FTR-0043 ,дырокол LT-62-0FTR-0043 ,1
симуляция E3-18-RQNQ-2184 ,реостат E3-18-RQNQ-2184 ,1
расчет CM-58-AL52-0731 ,расчет CM-58-A452-0731 ,0
темномер MQ-51-L3JI-1330 Технический,темномер MQ-51-L36I-1330 Механический,0
спарка MP-19-ZPPM-8726 Тепловой,лагерь MP-19-ZPPM-8726 ,1
проточка GV-22-AJWV-1760 ,проточка GV-22-AJWV-1780 ,0
двутавр SD-39-P12T-4638 Радиочастотный,настой SD-39-P12T-4638 ,1
лагерь JJ-00-6ZYZ-0253 ,лагерь 63-24-LI2C-4454 ,0
электродвигатель 7T-25-3VEU-9127 Кинематический,опробование 7T-25-3VEU-9127 ,1
шпатель UC-81-TBG6-1236 ,шпатель UC-81-TBG611236 ,0
пульсометр ZM-28-XP0T-7196 Метрологический,клещи ZM-28-XP0T-7196 ,1
холодильник EO-56-HTL6-7584 Гидравлический,термометр EO-56-HTL6-7584 ,1
нож I9-81-NYI5-8193 Криогенный,темномер I9-81-NYI5-8193 ,1
водоснабжение HE-92-HU37-7055 ,водоснабжение H5-92-HU37-7055 ,0
двигатель IT-99-VVHN-7793 ,термометр IT-99-VVHN-7793 ,1
вал NN-25-H9SW-1892 Проектировочный,вал 1Y-91-8S5I-8915 Проектировочный,0
плоскогубцы H0-91-THZP-2789 Криогенный,лента H0-91-THZP-2789 Криогенный,1
амортизация CS-35-3L7T-5728 ,полумесяц CS-35-3L7T-5728 ,1
паяльник X7-62-N7P0-4502 Лазерный,электродвигатель X7-62-N7P0-4502 ,1
струновка 1M-12-BOGM-3462 Автоматический,струновка 1M-12-B6GM-3462 Автоматический,0
станция EG-72-Y7BY-6456 Робототехнический,тара EG-72-Y7BY-6456 Пневматический,1
бита ML-48-3TYR-4374 ,бита 6A-92-9BJ9-6713 ,0
гвоздодер RL-72-5OZP-6136 Технический,гвоздодер RL-72-5OZP-6136 ,1
полумесяц K1-93-APX3-6805 Полупроводниковый,кисточка K1-93-APX3-6805 Микробиологический,1
аналитика U7-19-LZ91-2795 ,диспергирование U7-19-LZ91-8795 ,0
компрессор BQ-45-JVSP-4810 Лазерный,олово BQ-45-JVSP-4810 Проектировочный,1
клещ ON-39-WQYS-1523 Робототехнический,клещ ON-39-W0YS-1523 Робототехнический,0
аргон JH-68-DR60-7396 ,гидрамеханика JH-68-DR60-7396 ,1
полумесяц XE-07-Q81S-7684 ,полумесяц XE-07-Q812-7684 ,0
антенна GU-40-JKSL-0854 Метрологический,антенна GU-40-JKSL-0854 Биомедицинский,1
клещи NH-16-7UFX-6172 ,клещи NH-16-7UFX-6372 ,0
фонарь B2-39-J3GN-3894 ,фонарь MN-58-ANAE-8924 ,0
электродвигатель AW-99-L4WB-7809 Исследовательский,электродвигатель AW-99-74WB-7809 Исследовательский,0
пульсометр 43-67-EU2K-4375 Термический,пульсометр 43-678EU2K-4375 ,0
стамеска C2-64-2KM1-8318 Расчетный,кисточка C2-64-2KM1-8318 ,1
клещи I5-85-HAQG-3590 Кинематический,нож I5-85-HAQG-3590 Экологический,1
переименование JN-00-PZYZ-7208 Радиочастотный,вихрь JN-00-PZYZ-7208 Пневматический,1
гидростатика BZ-67-JB1L-9371 ,гидростатика BZ-67-JB1L19371 ,0
рычаг 6P-56-MOFK-8380 Термический,рычаг Q4-45-T3EB-1871 Геотехнический,0
проточка 2M-00-46BF-6980 ,проточка 86-11-1A84-5107 ,0
идеализация 6P-94-E3D5-4335 Энергетический,идеализация 6P-94-E3D5-4335 ,1
спарка 9A-40-9SSC-0207 Эргономический,спарка 9A-40-9SSC-0207 Вибрационный,1
цилиндр 0K-64-26YT-4287 Радиотехнический,цилиндр 8B-74-YGL5-1286 Радиотехнический,0
эксперимент HI-50-SHDT-0606 ,эксперимент H5-50-SHDT-0606 ,0
фильтр 1D-11-F0UU-7844 ,фильтр 1D-11-F0UU-7844 ,1
гидрамеханика QP-10-CKQU-5699 ,гидрамеханика QP-10-CKQU-9699 ,0
цилиндр R9-64-R9EB-4376 Аэродинамический,цилиндр R9-64-R9EB-4376 ,1
клещи KG-21-U1UV-5297 ,клещи KG-21-U1UV-5287 ,0
трапеция MI-14-TSM5-8449 Автоматический,клещ MI-14-TSM5-8449 Электрический,1
диспергирование 3O-96-Y6JX-4447 Вибрационный,опробование 3O-96-Y6JX-4447 ,1
клещи B7-92-HEDA-5871 Силовой,пассатижи B7-92-HEDA-5871 ,1
эксперимент HG-60-ZK0N-2857 Аэродинамический,эксперимент HG-60-ZK0N-3857 Аэродинамический,0
краскопульт CV-72-E3CC-8390 Энергетический,краскопульт CV-72-E3CC-8390 ,1
паяльник 4Z-60-WX7W-9008 ,паяльник K7-91-U5ZM-5142 ,0
щетка 4Q-00-PI6I-5234 Проектировочный,детектор 4Q-00-PI6I-5234 ,1
тент F0-87-08AU-3439 Криогенный,тент Q6-43-PCHE-1922 Криогенный,0
опробование EK-97-VF46-8438 Оптический,опробование EK-97-VF46-8438 ,1
фонарь AF-69-D8TJ-2907 Метрологический,фонарь M6-11-IOQE-7730 Метрологический,0
доска XF-53-EGAN-4146 Газодинамический,доска 9R-49-V6KX-2324 Газодинамический,0
паяльник CB-94-7CR6-1328 Лазерный,амортизация CB-94-7CR6-1328 Лазерный,1
крестовина 6F-72-37ZO-1653 Аэродинамический,бита 6F-72-37ZO-1653 Аэродинамический,1
тент JT-74-CW16-0404 Электрический,пульсометр JT-74-CW16-0404 ,1
пассатижи VX-00-3WRZ-3546 Сверхпроводящий,пассатижи VX-00-3WRZ-3546 ,1
нож 27-33-PTK9-9093 ,нож 27-33-PTK9-9093 ,1
водоснабжение 6Z-57-B8BH-7083 Нанотехнологический,водоснабжение OK-20-ZQQT-6448 Термический,0
пилка UM-74-1FZ8-9361 ,клещи UM-74-1FZ8-9361 ,1
бита D7-27-HW0F-4308 Телекоммуникационный,гидростатика D7-27-HW0F-4308 Силовой,1
настой GX-78-634B-2321 Гравитационный,станция GX-78-634B-2321 ,1
энтузиазм EK-43-G8WL-0223 Экологический,моделирование EK-43-G8WL-0223 ,1
тренога LS-16-T0CX-7307 Радиолокационный,тренога LS-16-T0CX-7907 Полупроводниковый,0
ключ DT-36-YF5Q-5020 Проектировочный,анализатор DT-36-YF5Q-5020 ,1
диспергирование 7N-48-5ILU-8883 ,гидростатика 7N-48-5ILU-8883 ,1
лагерь N8-59-48YO-5305 Геотехнический,лагерь N8-59-482O-5305 Геотехнический,0
дырокол 8S-34-FGG3-0045 Криогенный,молоток 8S-34-FGG3-0045 ,1
термометр VZ-78-7LU7-0013 ,эксперимент VZ-78-7LU7-0013 ,1
аппаратура RK-91-XKRH-1404 Робототехнический,аппаратура RV-33-CB2A-5054 Робототехнический,0
холодильник V1-02-LBSY-1860 ,холодильник 61-02-LBSY-1860 ,0
гирокомпас W6-68-4AVA-1588 Робототехнический,щетка W6-68-4AVA-1588 ,1
программатор D6-23-9N3V-7627 ,программатор D6-63-9N3V-7627 ,0
пилка CM-03-7MHY-7842 Оптический,пилка 11-33-N15Q-1622 Оптический,0
фильтр 6O-87-BRET-4012 Тепловой,фильтр 6O-87-BRET-4012 ,1
аппаратура DI-88-T6E0-3670 Акустический,клещи DI-88-T6E0-3670 ,1
идеализация HN-05-0LIC-4145 ,идеализация 07-73-J4KN-1176 ,0
опробование 2O-25-4HZ8-3150 Радиотехнический,кисточка 2O-25-4HZ8-3150 Кинематический,1
гидростатика 1E-86-DKV5-1941 Радиотехнический,эксперимент 1E-86-DKV5-1941 ,1
пульсометр D0-97-L3X3-4397 Радиочастотный,струновка D0-97-L3X3-4397 ,1
антенна K6-37-QAJ6-8306 ,крестовина K6-37-QAJ6-8306 ,1
ассоциация MZ-50-ICB5-1769 Эргономический,ассоциация MZ-50-ICB5-1769 ,1
молоток GS-80-K287-8118 Металлургический,молоток PA-52-S3UE-7723 Металлургический,0
струновка V9-31-U9B6-0684 ,симуляция V9-31-U9B6-0684 ,1
электросверло YL-42-KBDU-7779 ,электросверло OP-87-XDUA-1648 ,0
пилка D7-97-BZII-5502 Архитектурный,пассатижи D7-97-BZII-5502 ,1
анализатор WF-02-UWCM-8036 ,анализатор WF-02-UWCM-8036 ,1
клещ D2-12-SWN7-9444 Безопасностный,сварка D2-12-SWN7-9444 ,1
темномер 2E-83-VEOO-6249 ,холодильник 2E-83-VEOO-6249 ,1
якорь OV-61-LR4C-8008 ,якорь AC-19-VOU8-3059 ,0
ключ 0U-63-YV61-8058 ,ключ TO-18-0S5Y-2923 ,0
пульсометр V3-37-SRVK-4024 Механический,детектор V3-37-SRVK-4024 ,1
такометр HH-82-M3XE-0042 Тепловой,гирокомпас HH-82-M3XE-0042 ,1
гвоздодер YD-11-6EPT-1530 Тепловой,гвоздодер YD-11-6EPT-1530 Генетический,1
аналитика 4S-74-J6TW-8151 Эргономический,оврископ 4S-74-J6TW-8151 ,1
последовательность E4-63-Y5VR-0129 ,эксперимент E4-63-Y5VR-0129 ,1
гирокомпас SP-18-PRT2-7443 Термический,аргон SP-18-PRT2-7443 ,1
антенна 5P-33-NASI-2431 ,антенна 5P-336NASI-2431 ,0
ключ 50-04-BQRC-7974 ,ключ 53-04-BQRC-7974 ,0
спарка FX-20-R7HA-7133 Эргономический,спарка FX020-R7HA-7133 Эргономический,0
последовательность 6A-86-IF78-5988 Полупроводниковый,последовательность 62-86-IF78-5988 Полупроводниковый,0
ключ N5-76-QC04-6017 ,ключ 6D-67-5PME-6663 ,0
пилка CB-39-751O-9050 Компьютерный,опробование CB-39-751O-9050 Управляющий,1
оружие 05-71-2UX4-6133 Газодинамический,двутавр 05-71-2UX4-6133 Кибернетический,1
тисочки 6V-27-OO07-1420 ,бита 6V-27-OO07-1420 ,1
клещ RK-55-R85Q-0943 ,клещ RK-57-R85Q-0943 ,0
клещи LF-74-SMD9-9941 Термический,клещи LF-742SMD9-9941 Термический,0
ассоциация N7-34-HC91-9123 Безопасностный,ассоциация 0M-03-O4IO-7288 Безопасностный,0
турбулентность 6X-66-5DW1-0582 ,турбулентность 6X-66-5D91-0582 ,0
уровень EU-28-QE9H-5977 Биотехнологический,уровень EU-28-QE9H-5937 Биотехнологический,0
аттестация 24-69-TD9X-4313 ,аттестация 1B-50-KQDA-4098 ,0
субкультура PF-37-DGFP-0138 Безопасностный,полумесяц PF-37-DGFP-0138 ,1
диспергирование LD-98-UZOJ-3594 Нанотехнологический,лагерь LD-98-UZOJ-3594 ,1
клещ IV-97-ULJY-3012 Акустический,клещ IV-97-ULJY-3012 Акустический,1
термометр PV-32-1CEK-1277 Гравитационный,жесткость PV-32-1CEK-1277 ,1
идеализация E2-79-ZATB-0063 Проектировочный,идеализация E2-79-ZATB-0063 ,1
олово S0-41-81XB-6035 ,олово DB-14-T4VJ-7283 ,0
ключ 7W-86-G34S-0712 Регулирующий,циркуль 7W-86-G34S-0712 ,1
вихрь 54-86-1XAL-2112 Ядерный,вихрь 54-86-1XAL-2112 ,1
дырокол LE-68-TR2G-7034 Биомедицинский,диспергирование LE-68-TR2G-7034 ,1
гвоздодер BU-31-B969-6692 Вибрационный,аналитика BU-31-B969-6692 Эргономический,1
игла QY-86-SFXH-7203 Криогенный,вихрь QY-86-SFXH-7203 ,1
моделирование ML-17-ZITC-6143 Гидравлический,моделирование Q6-16-D1Z3-5204 Гидравлический,0
крестовина XP-34-OJKO-9630 ,крестовина XP634-OJKO-9630 ,0
датчик MB-65-WLKL-7163 Силовой,шпатель MB-65-WLKL-7163 Газодинамический,1
клепка 0K-97-A2TA-7976 Биомедицинский,лента 0K-97-A2TA-7976 ,1
отвертка PX-86-OVNJ-9663 ,отвертка 8G-52-O1PI-5827 ,0
аттестация 3W-63-QW2G-5713 Химический,темномер 3W-63-QW2G-5713 Экологический,1
аппаратура X6-25-S05M-5294 Конструктивный,тренога X6-25-S05M-5294 ,1
вихрь AL-42-IYJW-9878 Вибрационный,клапан AL-42-IYJW-9878 ,1
уровень 0P-59-VQ9C-6571 Проектировочный,уровень FW-80-TOSM-2614 Проектировочный,0
уровень YJ-52-LVUK-4520 Расчетный,пила YJ-52-LVUK-4520 ,1
крестовина A6-11-XOEI-8760 Компьютерный,пассатижи A6-11-XOEI-8760 Энергетический,1
двигатель KM-57-KTKW-1557 ,двигатель KM-57-K5KW-1557 ,0
симуляция FJ-07-Y5VU-2523 ,гирокомпас FJ-07-Y5VU-2523 ,1
оврископ IG-25-8NRV-7928 ,оврископ 9D-25-K4N0-1282 ,0
уровень PD-34-0Q7D-8432 ,уровень PD134-0Q7D-8432 ,0
цанга 4O-77-Q87M-2080 ,цанга OH-31-PDE0-4213 ,0
темномер DG-81-7CN9-8638 Пневматический,последовательность DG-81-7CN9-8638 ,1
электросверло TQ-79-67Q4-1567 ,электросверло T3-79-67Q4-1567 ,0
амортизация O2-94-DPHR-8164 Регулирующий,амортизация OL-65-XC0D-5191 Регулирующий,0
спарка FY-30-9WGC-8641 ,спарка CK-07-E2EZ-8434 ,0
тара D7-95-DPQZ-2392 Регулирующий,плоскогубцы D7-95-DPQZ-2392 Полупроводниковый,1
крюки UE-36-F3VE-5783 ,молоток UE-36-F3VE-5783 ,1
аналитика IO-41-ME6K-8332 Микробиологический,ключ IO-41-ME6K-8332 Вибрационный,1
расчет 20-10-Y1FC-5669 Безопасностный,расчет 20-10-Y1FC-5769 Безопасностный,0
диспергирование 8J-80-IBA0-4161 ,диспергирование 8J-80-I0A0-4161 ,0
проточка 5S-13-I6Q5-8842 Архитектурный,датчик 5S-13-I6Q5-8842 ,1
вал 80-32-4DQP-2238 ,вал NA-93-8IFL-2783 ,0
уровень A4-79-ZE4D-0266 ,уровень 8U-48-S41J-8554 ,0
плоскогубцы 1J-99-54AD-0296 Биомедицинский,спарка 1J-99-54AD-0296 Радиолокационный,1
компрессор SQ-43-T3WD-9473 Газодинамический,тиски SQ-43-T3WD-9473 Нанотехнологический,1
тиски OF-40-MGBF-1290 Химический,паяльник OF-40-MGBF-1290 ,1
клещи 3B-09-OGXG-4761 ,клещи 3B709-OGXG-4761 ,0
плоскогубцы E7-14-RA97-6626 Гальванический,плоскогубцы E7-145RA97-6626 Нанотехнологический,0
переименование S5-30-C0E3-3719 ,переименование S5-30-C4E3-3719 ,0
фильтр XV-10-HG6T-8356 ,фильтр XV-10-HG2T-8356 ,0
гидростатика P9-00-IYGI-5842 Микробиологический,гидростатика P9-00-I6GI-5842 Микробиологический,0
стамеска 0J-46-4EX0-8380 Технический,стамеска XX-52-RK05-0371 Технический,0
клапан 15-31-6GON-4355 ,аттестация 15-31-6GON-4355 ,1
сварка NV-39-CE12-2427 Биомедицинский,врезка NV-39-CE12-2427 ,1
цилиндр 59-61-6V98-7926 ,цилиндр 81-23-20YS-3676 ,0
опробование 3N-90-GZ8X-0615 Проектировочный,тисочки 3N-90-GZ8X-0615 Проектировочный,1
отвертка LH-84-E35H-8865 Механический,отвертка LH-84-E35H-8265 Механический,0
